PhraseId,SentenceId,Phrase,Sentiment
12235,523,an engrossing story,3
152071,8297,"A delicious , quirky movie with a terrific screenplay and fanciful direction by Michael Gondry .",4
45813,2227,nasty,0
112791,5989,that rare combination,3
83531,4317,hackery,1
30415,1411,mundane '70s disaster flick,1
57965,2921,"is about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it .",4
52720,2610,asparagus,2
132944,7170,"far-flung , illogical ,",1
59617,3007,maintains an appealing veneer without becoming too cute about it .,3
65646,3326,'s just too boring and obvious,0
99930,5242,especially well-executed television movie,4
90263,4698,is worth the price of admission .,4
124876,6710,", shoot-em-up scene",3
33470,1569,a lower I.Q.,0
31302,1462,the hastily and amateurishly,0
126627,6808,his superb actors,4
155407,8506,chilled,2
30295,1407,fisher,2
53791,2670,a serious contender,3
22786,1032,"The fascination comes in the power of the Huston performance , which seems so larger than life and yet so fragile , and in the way the Ivan character accepts the news of his illness so quickly but still finds himself unable to react",3
67885,3446,had all its vital essence scooped,1
140609,7629,his chemistry with Shimizu is very believable,3
68658,3488,your lover,2
33537,1573,blockbusters,3
153923,8409,overweight and out of shape,0
149684,8148,the script 's insistence,2
48529,2371,as in the film 's verbal pokes at everything from the likes of Miramax chief,2
76767,3947,indoors in formal settings with motionless characters,1
63319,3204,may cause parents a few sleepless hours -- a sign of its effectiveness,4
66707,3386,"As the sulking , moody male hustler in the title role",2
102612,5403,This franchise has not spawned a single good film .,0
128791,6927,"a strange film , one that was hard for me to warm up to",0
50359,2476,George Roy Hill 's,2
91525,4763,with the right actors and with the kind of visual flair that shows what great cinema can really do,4
48627,2375,"The dramatic crisis does n't always succeed in its quest to be taken seriously , but Huppert 's volatile performance makes for a riveting movie experience",3
30319,1408,boarders from Venice Beach that was a deserved co-winner of the Audience Award for documentaries at the Sundance Film Festival .,4
30181,1400,from David 's point of view,1
40793,1955,about as exciting to watch as two last-place basketball teams,0
39456,1884,Hard and Cliffhanger,2
62003,3135,slapstick sequences,3
6156,245,real bump-in -,2
12962,557,boring,0
79625,4099,"is meaningless , vapid and devoid",0
20478,915,adored The Full Monty so resoundingly,3
44586,2159,like movies that demand four hankies,3
150007,8169,flounders,0
46367,2255,"As a director , Paxton is surprisingly brilliant , deftly sewing together what could have been a confusing and horrifying vision into an intense and engrossing head-trip .",4
13102,563,"the film , while it 's not completely wreaked",1
55488,2770,potentially trite and overused,0
39076,1865,who becomes fully English,2
1363,50,best war movies,4
128160,6896,"A fragile framework upon which to hang broad , mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming .",1
113156,6011,A first-class road movie,4
15105,650,spend $ 9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby,0
153175,8365,Sex With Strangers is fascinating ...,4
95239,4969,of a really solid Woody Allen film,4
150149,8178,"has no character , loveable or otherwise",0
74783,3833,favorite,4
71074,3626,"Light-years ahead of paint-by-number American blockbusters like Pearl Harbor , at least artistically .",4
130954,7058,by forcing the star to play second fiddle to the dull effects that allow the suit to come to life,1
44202,2143,a clear passion for sociology,2
64294,3255,"sophisticated , discerning taste",4
73284,3743,make the suckers out there surrender $ 9 and 93 minutes of unrecoverable life,0
128931,6933,damaged-goods,0
2520,97,"`` Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0
47002,2290,truly wonderful,4
94293,4920,blue eyes,2
